Sequence_ID,Status
KY014325.2,Somente em Zika479ONE
KY014326.1,Somente em Zika270ONE
KY014327.2,Ambos
KY075932.1,Somente em Zika479ONE
KY075933.1,Somente em Zika479ONE
KY075934.1,Somente em Zika479ONE
KY075937.1,Somente em Zika479ONE
KY075938.1,Somente em Zika479ONE
KY075939.2,Somente em Zika479ONE
KY120348.1,Somente em Zika479ONE
KY120349.2,Somente em Zika479ONE
KY120353.1,Somente em Zika270ONE
KY126350.1,Somente em Zika479ONE
KY126351.1,Somente em Zika479ONE
KY131442.1,Somente em Zika479ONE
KY241671.1,Somente em Zika479ONE
KY241673.1,Somente em Zika479ONE
KY241674.1,Somente em Zika479ONE
KY241675.1,Somente em Zika479ONE
KY241676.1,Somente em Zika479ONE
KY241678.1,Somente em Zika479ONE
KY241679.1,Somente em Zika479ONE
KY241680.1,Somente em Zika479ONE
KY241681.1,Somente em Zika479ONE
KY241682.1,Somente em Zika479ONE
KY241683.1,Somente em Zika479ONE
KY241684.1,Somente em Zika479ONE
KY241685.1,Somente em Zika479ONE
KY241686.1,Somente em Zika479ONE
KY241687.1,Somente em Zika479ONE
KY241688.1,Somente em Zika479ONE
KY241689.1,Somente em Zika479ONE
KY241690.1,Somente em Zika479ONE
KY241691.1,Somente em Zika479ONE
KY241692.1,Somente em Zika479ONE
KY241694.1,Somente em Zika479ONE
KY241695.1,Somente em Zika479ONE
KY241696.1,Somente em Zika479ONE
KY241697.1,Somente em Zika479ONE
KY241698.1,Somente em Zika479ONE
KY241700.1,Somente em Zika479ONE
KY241704.1,Somente em Zika479ONE
KY241706.1,Somente em Zika479ONE
KY241707.1,Somente em Zika479ONE
KY241713.1,Somente em Zika479ONE
KY241714.1,Somente em Zika479ONE
KY241716.1,Somente em Zika479ONE
KY241719.1,Somente em Zika479ONE
KY241720.1,Somente em Zika479ONE
KY241721.1,Somente em Zika479ONE
KY241722.1,Somente em Zika479ONE
KY241725.1,Somente em Zika479ONE
KY241726.1,Somente em Zika479ONE
KY241727.1,Somente em Zika479ONE
KY241729.1,Somente em Zika479ONE
KY241730.1,Somente em Zika479ONE
KY241731.1,Somente em Zika479ONE
KY241733.1,Somente em Zika479ONE
KY241734.1,Somente em Zika479ONE
KY241736.1,Somente em Zika479ONE
KY241737.1,Somente em Zika479ONE
KY241738.1,Somente em Zika479ONE
KY241740.1,Somente em Zika479ONE
KY241741.1,Somente em Zika479ONE
KY241744.1,Somente em Zika479ONE
KY241748.1,Somente em Zika479ONE
KY241749.1,Somente em Zika479ONE
KY241750.1,Somente em Zika479ONE
KY241751.1,Somente em Zika479ONE
KY241753.1,Somente em Zika479ONE
KY241754.1,Somente em Zika479ONE
KY241756.1,Somente em Zika479ONE
KY241758.1,Somente em Zika479ONE
KY241763.1,Somente em Zika479ONE
KY241766.1,Somente em Zika479ONE
KY241767.1,Somente em Zika479ONE
KY241772.1,Somente em Zika479ONE
KY241773.1,Somente em Zika479ONE
KY241774.1,Somente em Zika479ONE
KY241775.1,Somente em Zika479ONE
KY241776.1,Somente em Zika479ONE
KY241777.1,Somente em Zika479ONE
KY241778.1,Somente em Zika479ONE
KY241779.1,Somente em Zika479ONE
KY241780.1,Somente em Zika479ONE
KY241781.1,Somente em Zika479ONE
KY241782.1,Somente em Zika479ONE
KY241783.1,Somente em Zika479ONE
KY241784.1,Somente em Zika479ONE
KY241785.1,Somente em Zika479ONE
KY241786.1,Somente em Zika479ONE
KY241787.1,Somente em Zika479ONE
KY241788.1,Somente em Zika479ONE
KY272987.1,Somente em Zika479ONE
KY272991.1,Somente em Zika479ONE
KY288905.1,Ambos
KY293644.1,Somente em Zika479ONE
KY317936.1,Somente em Zika479ONE
KY317937.1,Somente em Zika479ONE
KY317938.1,Somente em Zika479ONE
KY317940.1,Somente em Zika479ONE
KY325464.1,Somente em Zika479ONE
KY325465.1,Somente em Zika479ONE
KY325466.1,Somente em Zika270ONE
KY325467.1,Ambos
KY325468.1,Somente em Zika479ONE
KY325469.1,Somente em Zika479ONE
KY325471.1,Somente em Zika270ONE
KY325472.1,Somente em Zika479ONE
KY325473.1,Somente em Zika479ONE
KY325476.1,Ambos
KY325477.1,Ambos
KY325479.1,Ambos
KY325480.1,Somente em Zika270ONE
KY325481.1,Somente em Zika270ONE
KY325482.1,Somente em Zika270ONE
KY325483.1,Somente em Zika270ONE
KY328289.1,Somente em Zika479ONE
KY348640.1,Somente em Zika479ONE
KY348860.1,Somente em Zika270ONE
KY354186.1,Somente em Zika479ONE
KY379148.1,Somente em Zika479ONE
KY415988.1,Somente em Zika479ONE
KY415990.1,Somente em Zika479ONE
KY415991.1,Somente em Zika479ONE
KY441401.1,Ambos
KY441402.1,Ambos
KY441403.1,Ambos
KY553111.1,Ambos
KY558999.1,Somente em Zika479ONE
KY559012.1,Somente em Zika479ONE
KY576904.1,Somente em Zika479ONE
KY606271.1,Somente em Zika479ONE
KY606272.1,Somente em Zika479ONE
KY606273.1,Somente em Zika479ONE
KY606274.1,Somente em Zika479ONE
KY631492.1,Somente em Zika479ONE
KY631493.1,Somente em Zika479ONE
KY631494.1,Somente em Zika479ONE
KY648934.1,Somente em Zika479ONE
KY693676.1,Somente em Zika479ONE
KY693677.1,Somente em Zika479ONE
KY693678.1,Somente em Zika479ONE
KY693679.1,Somente em Zika479ONE
KY693680.1,Somente em Zika479ONE
KY765317.1,Somente em Zika479ONE
KY765318.1,Somente em Zika479ONE
KY765320.1,Somente em Zika479ONE
KY765321.1,Somente em Zika479ONE
KY765322.1,Somente em Zika479ONE
KY765323.1,Ambos
KY765324.1,Somente em Zika479ONE
KY765326.1,Somente em Zika479ONE
KY765327.1,Somente em Zika479ONE
KY785410.1,Somente em Zika270ONE
KY785412.1,Somente em Zika270ONE
KY785413.1,Somente em Zika270ONE
KY785414.1,Somente em Zika270ONE
KY785415.1,Somente em Zika479ONE
KY785417.1,Somente em Zika270ONE
KY785418.1,Somente em Zika479ONE
KY785419.1,Ambos
KY785420.1,Somente em Zika479ONE
KY785422.1,Somente em Zika479ONE
KY785423.1,Ambos
KY785424.1,Somente em Zika270ONE
KY785427.1,Ambos
KY785429.1,Ambos
KY785430.1,Somente em Zika270ONE
KY785432.1,Somente em Zika270ONE
KY785433.1,Somente em Zika270ONE
KY785435.1,Ambos
KY785437.1,Somente em Zika270ONE
KY785439.1,Somente em Zika270ONE
KY785441.1,Somente em Zika479ONE
KY785442.1,Somente em Zika479ONE
KY785444.1,Somente em Zika270ONE
KY785445.1,Ambos
KY785447.1,Somente em Zika270ONE
KY785448.1,Somente em Zika479ONE
KY785449.1,Somente em Zika270ONE
KY785450.1,Somente em Zika479ONE
KY785451.1,Somente em Zika270ONE
KY785452.1,Ambos
KY785453.1,Somente em Zika270ONE
KY785455.1,Ambos
KY785456.1,Ambos
KY785457.1,Somente em Zika270ONE
KY785459.1,Somente em Zika270ONE
KY785461.1,Somente em Zika270ONE
KY785462.1,Somente em Zika270ONE
KY785463.1,Somente em Zika270ONE
KY785464.1,Ambos
KY785465.1,Ambos
KY785468.1,Somente em Zika479ONE
KY785469.1,Somente em Zika479ONE
KY785470.1,Somente em Zika270ONE
KY785472.1,Ambos
KY785474.1,Somente em Zika270ONE
KY785475.1,Ambos
KY785476.1,Ambos
KY785479.1,Somente em Zika270ONE
KY785484.1,Ambos
KY921911.1,Somente em Zika479ONE
KY927808.1,Ambos
KY989971.1,Somente em Zika479ONE
LC171327.1,Somente em Zika479ONE
LC190723.1,Somente em Zika479ONE
LC191864.1,Somente em Zika479ONE
LC219720.1,Ambos
LC331561.1,Somente em Zika479ONE
LC369584.1,Ambos
LP940662.1,Somente em Zika270ONE
LP940739.1,Somente em Zika270ONE
LP940745.1,Somente em Zika270ONE
LP940747.1,Somente em Zika270ONE
MF036115.1,Somente em Zika479ONE
MF073357.1,Somente em Zika479ONE
MF073358.1,Somente em Zika479ONE
MF073359.1,Somente em Zika479ONE
MF098766.1,Somente em Zika479ONE
MF098769.1,Somente em Zika479ONE
MF098771.1,Somente em Zika479ONE
MF159531.1,Somente em Zika479ONE
MF167360.1,Somente em Zika479ONE
MF173411.1,Somente em Zika479ONE
MF352141.1,Somente em Zika479ONE
MF384325.1,Somente em Zika479ONE
MF434516.1,Somente em Zika479ONE
MF434517.1,Somente em Zika479ONE
MF434518.1,Somente em Zika270ONE
MF434520.1,Somente em Zika270ONE
MF434521.1,Somente em Zika479ONE
MF434522.1,Somente em Zika479ONE
MF438286.1,Somente em Zika479ONE
MF510857.1,Ambos
MF574552.1,Somente em Zika479ONE
MF574554.1,Somente em Zika270ONE
MF574559.1,Ambos
MF574565.1,Ambos
MF574566.1,Somente em Zika479ONE
MF574567.1,Ambos
MF574570.1,Ambos
MF574571.1,Somente em Zika479ONE
MF574572.1,Ambos
MF574575.1,Ambos
MF574577.1,Ambos
MF574578.1,Somente em Zika479ONE
MF574579.1,Somente em Zika479ONE
MF574583.1,Somente em Zika479ONE
MF574584.1,Ambos
MF574585.1,Ambos
MF574586.1,Somente em Zika479ONE
MF574587.1,Somente em Zika479ONE
MF574588.1,Ambos
MF629796.1,Somente em Zika479ONE
MF629797.1,Somente em Zika479ONE
MF629798.1,Somente em Zika479ONE
MF629799.1,Somente em Zika479ONE
MF664436.1,Somente em Zika479ONE
MF692778.1,Somente em Zika479ONE
MF783072.1,Somente em Zika479ONE
MF783073.1,Somente em Zika479ONE
MF794971.1,Somente em Zika479ONE
MF801378.1,Somente em Zika479ONE
MF801381.1,Somente em Zika479ONE
MF801383.1,Somente em Zika479ONE
MF801384.1,Somente em Zika479ONE
